代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
688429,时创能源,15.09,7.4,1.04,2.83万,0.41亿,9.4,15.3,13.98,13.99,14.05,3.12,2.36,-9.19,3.94
301636,泽润新能,60.44,7.35,4.14,3.27万,1.91亿,10.8,61.88,55.8,55.91,56.3,2.52,21.58,29.33,3.56
601208,东材科技,11.68,7.35,0.8,103.64万,11.99亿,11.76,11.97,10.69,10.88,10.88,3.9,11.56,28.5,2.42
300911,亿田智能,43.56,7.24,2.94,3.16万,1.33亿,7.98,43.85,40.61,40.62,40.62,2.23,1.87,-46.31,6.58
002141,贤丰控股,4.45,7.23,0.3,94.90万,4.20亿,10.12,4.57,4.15,4.17,4.15,3.36,9.2,80.87,5.5
300476,胜宏科技,154.61,7.2,10.38,27.34万,41.32亿,7.77,155.5,144.29,144.29,144.23,1.96,3.2,36.22,13.79
300821,东岳硅材,9.7,7.18,0.65,63.52万,5.90亿,11.49,9.91,8.87,9.05,9.05,2.26,5.29,79.03,2.36
002080,中材科技,24.5,7.03,1.61,50.39万,12.15亿,10.14,24.98,22.66,22.67,22.89,1.93,3.0,28.39,2.22
688599,天合光能,15.58,6.93,1.01,29.41万,4.42亿,7.34,15.6,14.53,14.6,14.57,2.21,1.35,-6.43,1.38
300347,泰格医药,56.65,6.91,3.66,10.99万,6.07亿,7.28,56.66,52.8,52.94,52.99,3.17,1.94,73.7,2.4
300819,聚杰微纤,25.59,6.89,1.65,8.86万,2.25亿,6.6,25.88,24.3,25.39,23.94,4.65,6.57,64.89,4.51
300946,恒而达,47.31,6.75,2.99,5.99万,2.78亿,8.78,47.89,44.0,44.0,44.32,5.5,7.9,92.17,6.25
300394,天孚通信,77.97,6.71,4.9,24.29万,18.43亿,8.32,78.6,72.52,72.56,73.07,1.88,3.13,44.88,14.8
600192,长城电工,12.27,6.7,0.77,114.78万,13.65亿,9.65,12.47,11.36,11.83,11.5,2.83,25.98,-33.94,4.76
688710,益诺思,36.79,6.67,2.3,1.84万,0.67亿,8.73,37.18,34.17,34.38,34.49,4.45,6.53,234.97,2.16
000622,恒立退,0.16,6.67,0.01,3.48万,0.01亿,6.67,0.16,0.15,0.16,0.15,0.5,0.82,-3.15,0.41
300118,东方日升,10.64,6.61,0.66,57.92万,5.95亿,7.82,10.67,9.89,9.93,9.98,1.83,6.25,-11.37,1.08
301577,美信科技,64.36,6.57,3.97,2.99万,1.88亿,10.18,65.71,59.56,59.86,60.39,4.54,15.85,100.43,3.76
300751,迈为股份,73.0,6.51,4.46,4.95万,3.50亿,6.84,73.09,68.4,68.68,68.54,3.19,2.58,31.46,2.72
